Block,Address,Latitude,Longitude
0000X E LAKE ST,"00000 E LAKE ST, Chicago, IL",41.9009473,-87.6204114
077XX S GREENWOOD AVE,"07700 S GREENWOOD AVE, Chicago, IL",41.8106384,-87.5992864
074XX N ROGERS AVE,"07400 N ROGERS AVE, Chicago, IL",42.0199145,-87.6670485
077XX S ESSEX AVE,"07700 S ESSEX AVE, Chicago, IL",42.315241,-87.858772
111XX S VINCENNES AVE,"11100 S VINCENNES AVE, Chicago, IL",41.5079304,-87.6400845
092XX S ASHLAND AVE,"09200 S ASHLAND AVE, Chicago, IL",41.778750450000004,-87.66352759569489
054XX S WABASH AVE,"05400 S WABASH AVE, Chicago, IL",41.8796269,-87.6261185
059XX S CAMPBELL AVE,"05900 S CAMPBELL AVE, Chicago, IL",41.47786,-87.6499059
049XX S WOLCOTT AVE,"04900 S WOLCOTT AVE, Chicago, IL",41.859608,-87.6736141
029XX S MICHIGAN AVE,"02900 S MICHIGAN AVE, Chicago, IL",41.8913503,-87.62356470662252
044XX W CORTEZ ST,"04400 W CORTEZ ST, Chicago, IL",41.900273,-87.6896471
043XX S DREXEL BLVD,"04300 S DREXEL BLVD, Chicago, IL",41.81645674854292,-87.60454041038125
057XX S ARTESIAN AVE,"05700 S ARTESIAN AVE, Chicago, IL",41.876793,-87.6878994
011XX S ALBANY AVE,"01100 S ALBANY AVE, Chicago, IL",41.9754637,-87.71399710307045
015XX S BURNHAM HARBOR DR,"01500 S BURNHAM HARBOR DR, Chicago, IL",41.8564827,-87.6137521
051XX S LECLAIRE AVE,"05100 S LECLAIRE AVE, Chicago, IL",41.8020559,-87.7503341
057XX S WABASH AVE,"05700 S WABASH AVE, Chicago, IL",41.8796269,-87.6261185
085XX S GREEN ST,"08500 S GREEN ST, Chicago, IL",41.8782946,-87.6389495
107XX S AVENUE B,"10700 S AVENUE B, Chicago, IL",41.69892635,-87.68297434919384
032XX N DAMEN AVE,"03200 N DAMEN AVE, Chicago, IL",41.96642555,-87.67886237188931
021XX W BIRCHWOOD AVE,"02100 W BIRCHWOOD AVE, Chicago, IL",42.0174293,-87.6877607
045XX S CICERO AVE,"04500 S CICERO AVE, Chicago, IL",41.9142941,-87.7464597
004XX E 88TH ST,"00400 E 88TH ST, Chicago, IL",41.7343319,-87.6399123
001XX S LA SALLE ST,"00100 S LA SALLE ST, Chicago, IL",41.882310649999994,-87.63201783179898
013XX N AUSTIN BLVD,"01300 N AUSTIN BLVD, Chicago, IL",41.90423388481736,-87.77545737763266
070XX S MERRILL AVE,"07000 S MERRILL AVE, Chicago, IL",41.7188707,-87.5709953
023XX N PARKSIDE AVE,"02300 N PARKSIDE AVE, Chicago, IL",41.9111875,-87.7667952
003XX W 40TH ST,"00300 W 40TH ST, Chicago, IL",41.8210818,-87.6872373
075XX S YATES BLVD,"07500 S YATES BLVD, Chicago, IL",41.75892563905467,-87.56640786094533
037XX S WABASH AVE,"03700 S WABASH AVE, Chicago, IL",41.8796269,-87.6261185
069XX S WESTERN AVE,"06900 S WESTERN AVE, Chicago, IL",41.94596335,-87.6878605
033XX N RIDGEWAY AVE,"03300 N RIDGEWAY AVE, Chicago, IL",41.8521687,-87.7186708
038XX W BELMONT AVE,"03800 W BELMONT AVE, Chicago, IL",41.9397964,-87.6533276
013XX W OHIO ST,"01300 W OHIO ST, Chicago, IL",41.8914867,-87.7325256
071XX S ABERDEEN ST,"07100 S ABERDEEN ST, Chicago, IL",41.5051895,-87.6424053
047XX N MAGNOLIA AVE,"04700 N MAGNOLIA AVE, Chicago, IL",41.9178734,-87.660134
012XX N HARDING AVE,"01200 N HARDING AVE, Chicago, IL",41.931357,-87.7257531
011XX E 55TH ST,"01100 E 55TH ST, Chicago, IL",41.79312,-87.7327643
071XX S CLAREMONT AVE,"07100 S CLAREMONT AVE, Chicago, IL",41.891027,-88.200598
011XX E 81ST ST,"01100 E 81ST ST, Chicago, IL",41.7476908,-87.59842
055XX W SCHUBERT AVE,"05500 W SCHUBERT AVE, Chicago, IL",41.9302826,-87.6957732
023XX S STATE ST,"02300 S STATE ST, Chicago, IL",41.8755546,-87.6244212
085XX S COMMERCIAL AVE,"08500 S COMMERCIAL AVE, Chicago, IL",41.7237552,-87.55955663804349
077XX S CHAPPEL AVE,"07700 S CHAPPEL AVE, Chicago, IL",41.718834,-87.5740357
132XX S BRANDON AVE,"13200 S BRANDON AVE, Chicago, IL",41.6553484,-87.54618087996332
056XX W IRVING PARK RD,"05600 W IRVING PARK RD, Chicago, IL",41.954177,-87.664358
037XX N MOZART ST,"03700 N MOZART ST, Chicago, IL",41.9331453,-87.6988725
019XX W CERMAK RD,"01900 W CERMAK RD, Chicago, IL",41.8532388,-87.6253371
050XX W WABANSIA AVE,"05000 W WABANSIA AVE, Chicago, IL",41.9121257,-87.6897142
072XX S DORCHESTER AVE,"07200 S DORCHESTER AVE, Chicago, IL",41.7441445,-87.5904452
063XX W ESTES AVE,"06300 W ESTES AVE, Chicago, IL",42.0101372,-87.7843519
113XX S EDBROOKE AVE,"11300 S EDBROOKE AVE, Chicago, IL",41.68884075,-87.6198450888158
037XX N MAGNOLIA AVE,"03700 N MAGNOLIA AVE, Chicago, IL",41.9178734,-87.660134
077XX S LOWE AVE,"07700 S LOWE AVE, Chicago, IL",41.5201911,-87.6320743
044XX S FEDERAL ST,"04400 S FEDERAL ST, Chicago, IL",41.87844485,-87.63299881724423
048XX S LAKE PARK AVE,"04800 S LAKE PARK AVE, Chicago, IL",42.196082,-87.806805
051XX S LAKE PARK AVE,"05100 S LAKE PARK AVE, Chicago, IL",42.196082,-87.806805
0000X N HAMLIN BLVD,"00000 N HAMLIN BLVD, Chicago, IL",41.88296987913477,-87.72088735688519
001XX W 61ST ST,"00100 W 61ST ST, Chicago, IL",41.7825765,-87.6326975
047XX S EVANS AVE,"04700 S EVANS AVE, Chicago, IL",42.0339478,-87.6793832
030XX W CARROLL AVE,"03000 W CARROLL AVE, Chicago, IL",41.8875683,-87.7028099
002XX W 110TH ST,"00200 W 110TH ST, Chicago, IL",41.6941191,-87.6472976
027XX N AVERS AVE,"02700 N AVERS AVE, Chicago, IL",41.8625772,-87.72142
082XX S HALSTED ST,"08200 S HALSTED ST, Chicago, IL",41.875474,-87.6496755
016XX N OAK PARK AVE,"01600 N OAK PARK AVE, Chicago, IL",41.955500900000004,-87.79936302437673
070XX S TALMAN AVE,"07000 S TALMAN AVE, Chicago, IL",41.8119816,-87.6906422
019XX W WINONA ST,"01900 W WINONA ST, Chicago, IL",41.9743106,-87.7577312
095XX S JEFFERY AVE,"09500 S JEFFERY AVE, Chicago, IL",41.7748173,-87.5755145
001XX N WALLER AVE,"00100 N WALLER AVE, Chicago, IL",41.8842637,-87.7682875
043XX W WABANSIA AVE,"04300 W WABANSIA AVE, Chicago, IL",41.9121257,-87.6897142
007XX N SACRAMENTO BLVD,"00700 N SACRAMENTO BLVD, Chicago, IL",41.89339716180967,-87.7023979287031
011XX W AINSLIE ST,"01100 W AINSLIE ST, Chicago, IL",41.9697665,-87.7552263
005XX N TROY ST,"00500 N TROY ST, Chicago, IL",41.9753112,-87.7074543
018XX W NORTH AVE,"01800 W NORTH AVE, Chicago, IL",41.88890145,-87.62642538975453
071XX S SEELEY AVE,"07100 S SEELEY AVE, Chicago, IL",41.7907133,-87.6754211
025XX W CERMAK RD,"02500 W CERMAK RD, Chicago, IL",41.8532388,-87.6253371
006XX W FULLERTON PKWY,"00600 W FULLERTON PKWY, Chicago, IL",41.9257343,-87.6400036
007XX N MICHIGAN AVE,"00700 N MICHIGAN AVE, Chicago, IL",41.8913503,-87.62356470662252
020XX E 70TH ST,"02000 E 70TH ST, Chicago, IL",41.7666671,-87.669356
087XX S JEFFERY BLVD,"08700 S JEFFERY BLVD, Chicago, IL",41.7735302,-87.5771447
014XX E 76TH ST,"01400 E 76TH ST, Chicago, IL",41.7568736,-87.5946508
109XX S NORMAL AVE,"10900 S NORMAL AVE, Chicago, IL",41.69592145,-87.63550592406229
079XX S MARQUETTE AVE,"07900 S MARQUETTE AVE, Chicago, IL",41.7306807,-87.5566461
001XX E 120TH ST,"00100 E 120TH ST, Chicago, IL",41.67627,-87.6184101
015XX N MONTICELLO AVE,"01500 N MONTICELLO AVE, Chicago, IL",41.926404,-87.7182809
012XX N ARTESIAN AVE,"01200 N ARTESIAN AVE, Chicago, IL",41.9321572,-87.6891229
0000X W 24TH ST,"00000 W 24TH ST, Chicago, IL",41.8482123,-87.6346832
046XX W 49TH ST,"04600 W 49TH ST, Chicago, IL",41.8052628,-87.6430191
009XX E 40TH ST,"00900 E 40TH ST, Chicago, IL",41.8216832,-87.6045472
045XX N CLARENDON AVE,"04500 N CLARENDON AVE, Chicago, IL",41.9535642,-87.6496856
112XX S HERMOSA AVE,"11200 S HERMOSA AVE, Chicago, IL",41.91361,-87.7320671
042XX N ASHLAND AVE,"04200 N ASHLAND AVE, Chicago, IL",41.8823867,-87.6667369
069XX S STEWART AVE,"06900 S STEWART AVE, Chicago, IL",41.5029932,-87.6258097
003XX E 29TH ST,"00300 E 29TH ST, Chicago, IL",41.8419666,-87.625244
082XX S COLES AVE,"08200 S COLES AVE, Chicago, IL",41.7483361,-87.5491863
015XX E 55TH ST,"01500 E 55TH ST, Chicago, IL",41.79312,-87.7327643
023XX W OHIO ST,"02300 W OHIO ST, Chicago, IL",41.8914867,-87.7325256
0000X S LA SALLE ST,"00000 S LA SALLE ST, Chicago, IL",41.882310649999994,-87.63201783179898
072XX S BELL AVE,"07200 S BELL AVE, Chicago, IL",41.6842751,-87.677039
033XX W 47TH ST,"03300 W 47TH ST, Chicago, IL",41.8092305,-87.6266363
050XX S WESTERN AVE,"05000 S WESTERN AVE, Chicago, IL",41.94596335,-87.6878605
050XX N BROADWAY,"05000 N BROADWAY, Chicago, IL",41.9774643,-87.6598909
023XX N LINCOLN PARK WEST,"02300 N LINCOLN PARK WEST, Chicago, IL",41.91748125,-87.63654094574537
001XX N STATE ST,"00100 N STATE ST, Chicago, IL",41.8854984,-87.62726118993479
022XX N LINCOLN AVE,"02200 N LINCOLN AVE, Chicago, IL",41.9952637,-87.715152
025XX N KIMBALL AVE,"02500 N KIMBALL AVE, Chicago, IL",41.9676101,-87.71283445784131
045XX W MONTANA ST,"04500 W MONTANA ST, Chicago, IL",41.9253429,-87.7390256
025XX N KEDZIE BLVD,"02500 N KEDZIE BLVD, Chicago, IL",41.92657199999999,-87.70765835926377
046XX N SHERIDAN RD,"04600 N SHERIDAN RD, Chicago, IL",41.9543201,-87.654435
020XX N CALIFORNIA AVE,"02000 N CALIFORNIA AVE, Chicago, IL",41.9386993,-87.6977997
033XX S LEAVITT ST,"03300 S LEAVITT ST, Chicago, IL",41.9210937,-87.6826355
012XX S HARDING AVE,"01200 S HARDING AVE, Chicago, IL",41.7031248,-87.7194712
008XX W 34TH PL,"00800 W 34TH PL, Chicago, IL",41.831748,-87.6485652
107XX S PARNELL AVE,"10700 S PARNELL AVE, Chicago, IL",41.505713,-87.6295045
088XX S RACINE AVE,"08800 S RACINE AVE, Chicago, IL",41.8758843,-87.6593253
047XX S VINCENNES AVE,"04700 S VINCENNES AVE, Chicago, IL",41.5079304,-87.6400845
044XX W GRAND AVE,"04400 W GRAND AVE, Chicago, IL",41.8911869,-87.6476883
078XX S ASHLAND AVE,"07800 S ASHLAND AVE, Chicago, IL",41.778750450000004,-87.66352759569489
067XX S ARTESIAN AVE,"06700 S ARTESIAN AVE, Chicago, IL",41.876793,-87.6878994
002XX N PINE AVE,"00200 N PINE AVE, Chicago, IL",41.8966602,-87.7636194
022XX W BELMONT AVE,"02200 W BELMONT AVE, Chicago, IL",41.9397964,-87.6533276
003XX W HUBBARD ST,"00300 W HUBBARD ST, Chicago, IL",41.8900679,-87.6481846
